n,Black Hole Entropy,Modular Partition Growth
1,2.718281828459045,1.0
2,4.1132503787829275,2.0
3,5.6522336740340915,3.0
4,7.38905609893065,4.0
5,9.356469016601148,5.0
6,11.582435190007354,6.0
7,14.094030107067814,7.0
8,16.918828678557897,8.0
9,20.085536923187668,9.0
10,23.624342922017807,10.0
11,27.567148453340927,11.0
12,31.947745505884928,12.0
13,36.8019662871682,13.0
14,42.16782066919796,14.0
15,48.08562838095215,15.0
16,54.598150033144236,16.0
17,61.750719398456724,17.0
18,69.5913784706417,18.0
19,78.17101631888708,19.0
