0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
(1+0j),1j,2j,3j,4j,5j,6j,7j,8j,9j,10j,11j,12j,13j,14j,15j
(1+0j),(1+0j),(1+2j),(1+3j),(1+4j),(1+5j),(1+6j),(1+7j),(1+8j),(1+9j),(1+10j),(1+11j),(1+12j),(1+13j),(1+14j),(1+15j)
(2+0j),(2+1j),(1+0j),(2+3j),(2+4j),(2+5j),(2+6j),(2+7j),(2+8j),(2+9j),(2+10j),(2+11j),(2+12j),(2+13j),(2+14j),(2+15j)
(3+0j),(3+1j),(3+2j),(1+0j),(3+4j),(3+5j),(3+6j),(3+7j),(3+8j),(3+9j),(3+10j),(3+11j),(3+12j),(3+13j),(3+14j),(3+15j)
(4+0j),(4+1j),(4+2j),(4+3j),(1+0j),(4+5j),(4+6j),(4+7j),(4+8j),(4+9j),(4+10j),(4+11j),(4+12j),(4+13j),(4+14j),(4+15j)
(5+0j),(5+1j),(5+2j),(5+3j),(5+4j),(1+0j),(5+6j),(5+7j),(5+8j),(5+9j),(5+10j),(5+11j),(5+12j),(5+13j),(5+14j),(5+15j)
(6+0j),(6+1j),(6+2j),(6+3j),(6+4j),(6+5j),(1+0j),(6+7j),(6+8j),(6+9j),(6+10j),(6+11j),(6+12j),(6+13j),(6+14j),(6+15j)
(7+0j),(7+1j),(7+2j),(7+3j),(7+4j),(7+5j),(7+6j),(1+0j),(7+8j),(7+9j),(7+10j),(7+11j),(7+12j),(7+13j),(7+14j),(7+15j)
(8+0j),(8+1j),(8+2j),(8+3j),(8+4j),(8+5j),(8+6j),(8+7j),(1+0j),(8+9j),(8+10j),(8+11j),(8+12j),(8+13j),(8+14j),(8+15j)
(9+0j),(9+1j),(9+2j),(9+3j),(9+4j),(9+5j),(9+6j),(9+7j),(9+8j),(1+0j),(9+10j),(9+11j),(9+12j),(9+13j),(9+14j),(9+15j)
(10+0j),(10+1j),(10+2j),(10+3j),(10+4j),(10+5j),(10+6j),(10+7j),(10+8j),(10+9j),(1+0j),(10+11j),(10+12j),(10+13j),(10+14j),(10+15j)
(11+0j),(11+1j),(11+2j),(11+3j),(11+4j),(11+5j),(11+6j),(11+7j),(11+8j),(11+9j),(11+10j),(1+0j),(11+12j),(11+13j),(11+14j),(11+15j)
(12+0j),(12+1j),(12+2j),(12+3j),(12+4j),(12+5j),(12+6j),(12+7j),(12+8j),(12+9j),(12+10j),(12+11j),(1+0j),(12+13j),(12+14j),(12+15j)
(13+0j),(13+1j),(13+2j),(13+3j),(13+4j),(13+5j),(13+6j),(13+7j),(13+8j),(13+9j),(13+10j),(13+11j),(13+12j),(1+0j),(13+14j),(13+15j)
(14+0j),(14+1j),(14+2j),(14+3j),(14+4j),(14+5j),(14+6j),(14+7j),(14+8j),(14+9j),(14+10j),(14+11j),(14+12j),(14+13j),(1+0j),(14+15j)
(15+0j),(15+1j),(15+2j),(15+3j),(15+4j),(15+5j),(15+6j),(15+7j),(15+8j),(15+9j),(15+10j),(15+11j),(15+12j),(15+13j),(15+14j),(1+0j)
