item_id	headline	role	status	http_status	content_type	sha256	size_bytes	output_path	url	error
RI-028	Astronomers detect a solar system they say should not be possible	primary	blocked_bot_challenge	403	text/html; charset=UTF-8	21aa27b531553969f1726786204fe9ffe8484dc7ce9bd0cdd45506a5b8acdc8c	9222	data/papers/sensational_primary/2026_02_14/ri-028-primary-1.html	https://doi.org/10.1126/science.adl2348	challenge_page_detected
RI-028	Astronomers detect a solar system they say should not be possible	candidate	blocked_bot_challenge	403	text/html; charset=UTF-8	7dd09ad5b7b7033d702c8fb097f993eda4939ed8281205c36dacaf0ea4395672	9222	data/papers/sensational_primary/2026_02_14/ri-028-candidate-2.html	https://www.science.org/doi/10.1126/science.adl2348	challenge_page_detected
RI-029	Sam Altman's fusion startup Helion Energy hits 150 million degree plasma temperature	primary	ok	200	text/html; charset=UTF-8	7d35152a0f318ba51a9b032eaad0c1b248498be851d25af208fd97715e7630e8	43005	data/papers/sensational_primary/2026_02_14/ri-029-primary-3.html	https://www.helionenergy.com/articles/helion-achieves-new-fusion-energy-milestones/	
RI-030	Scientists stunned as 'magic' particles suddenly appear in LHC	primary	blocked_bot_challenge	403	text/html; charset=UTF-8	69faa23a5921f20e387ad40f06ad74ace9bea3ba7d61b96b2750f0b0d79e0d13	9187	data/papers/sensational_primary/2026_02_14/ri-030-primary-4.html	https://doi.org/10.1103/PhysRevD.110.116016	challenge_page_detected
RI-030	Scientists stunned as 'magic' particles suddenly appear in LHC	candidate	blocked_bot_challenge	403	text/html; charset=UTF-8	a8f7bc0b0cc0e9101f6730d17d2c04429ef2f810b3c39859ed2e0f3357199cb2	9187	data/papers/sensational_primary/2026_02_14/ri-030-candidate-5.html	https://link.aps.org/doi/10.1103/PhysRevD.110.116016	challenge_page_detected
RI-033	Thousands of sodium atoms merge into 1 wave, warping quantum reality	primary	ok	200	text/html; charset="UTF-8"	2ea06a2f49bfc7485875b7c560344286b7a64030af64fe7a341878bfe4076857	469659	data/papers/sensational_primary/2026_02_14/ri-033-primary-6.html	https://doi.org/10.1038/s41586-025-09917-9	
RI-033	Thousands of sodium atoms merge into 1 wave, warping quantum reality	candidate	ok	200	text/html; charset="UTF-8"	a3f13332cd944297c878326e0a1e7733d0522226515efe2c4a810c2919ea4f76	469659	data/papers/sensational_primary/2026_02_14/ri-033-candidate-7.html	https://www.nature.com/articles/s41586-025-09917-9	
RI-034	Record-breaking gravitational wave puts Einstein's relativity to its toughest test yet	primary	ok	200	text/html; charset=utf-8	1b716cd5c195a33e9a3b5a2adbde306be99c2102baa181343f0363b839046689	48548	data/papers/sensational_primary/2026_02_14/ri-034-primary-8.html	https://arxiv.org/abs/2509.08099	
RI-034	Record-breaking gravitational wave puts Einstein's relativity to its toughest test yet	candidate	blocked_bot_challenge	403	text/html; charset=UTF-8	15893f701c03e048fe0892e10e93ef1866652459f65889ca159bdc0eb40f4578	9170	data/papers/sensational_primary/2026_02_14/ri-034-candidate-9.html	https://journals.aps.org/prl/abstract/10.1103/6c61-fm1n	challenge_page_detected
RI-034	Record-breaking gravitational wave puts Einstein's relativity to its toughest test yet	candidate	ok	200	text/html; charset=UTF-8	8d7a6f9bebc2add7e62300ae5c9fac4e83c936f07d42b49c71a4e3eab884f6ad	46106	data/papers/sensational_primary/2026_02_14/ri-034-candidate-10.html	https://news.cornell.edu/stories/2026/01/gravitational-wave-signal-tests-einsteins-theory-general-relativity	
RI-034	Record-breaking gravitational wave puts Einstein's relativity to its toughest test yet	candidate_pdf	ok	200	application/pdf	8514216587c4a21797b6ebe69643712395daf280a3646542cbe8b8824892f809	1569347	data/papers/sensational_primary/2026_02_14/ri-034-candidate-pdf-11.pdf	https://arxiv.org/pdf/2509.08099.pdf	
