ASOT-0019	cambridge:journal_article	location:	location:	https://www.cambridge.org/core/product/identifier/S0960129503004110/type/journal_article
ASOT-0020	cambridge:tdm-policy.json	tdm-policy:	tdm-policy:	https://www.cambridge.org/core/tdm/tdm-policy.json
ASOT-0026	doi:10.1002/9781118886663	https://doi.org/10.1002/9781118886663	https://doi.org/10.1002/9781118886663	https://doi.org/10.1002/9781118886663
ASOT-0028	doi:10.1002/andp.200510172	"Annalen Phys. 15 (2006), 109-128 doi:10.1002/andp.200510172 [arXiv:0801.0735 [gr-qc]]."	"Annalen Phys. 15 (2006), 109-128 doi:10.1002/andp.200510172 [arXiv:0801.0735 [gr-qc]]."	https://doi.org/10.1002/andp.200510172
ASOT-0029	doi:10.1002/mma.1442	"Hitzer (2010) Crystal planes and reciprocal space in Clifford geometric algebra"	"Hitzer (2010) Crystal planes and reciprocal space in Clifford geometric algebra"	https://doi.org/10.1002/MMA.1442
ASOT-0030	doi:10.1002/prop.201300020	"Phys. 61, 781 (2013) doi:10.1002/prop.201300020 [arXiv:1306.0533 [hep-th]]."	"Phys. 61, 781 (2013) doi:10.1002/prop.201300020 [arXiv:1306.0533 [hep-th]]."	https://doi.org/10.1002/prop.201300020
ASOT-0031	doi:10.1002/pssb.2221440107	"Metallic glasses and chiral nematic liquid crystals (PSSB 1987)"	"Metallic glasses and chiral nematic liquid crystals (PSSB 1987)"	https://doi.org/10.1002/PSSB.2221440107
ASOT-0032	doi:10.1006/inco.1996.2613	"doi: 10.1006/inco.1996.2613."	"doi: 10.1006/inco.1996.2613."	https://doi.org/10.1006/inco.1996.2613
ASOT-0033	doi:10.1007/11693024_2	"Science). Ed. by Peter Sestoft. Vol. 3924. Springer, 7 21. doi: 10.1007/11693024_2."	"Science). Ed. by Peter Sestoft. Vol. 3924. Springer, 7 21. doi: 10.1007/11693024_2."	https://doi.org/10.1007/11693024_2
ASOT-0034	doi:10.1007/3-540-45332-6_7	"International Workshop, TIC 2000, Montreal, Canada, September 21, 2000, Revised Selected Papers (Lecture Notes in Computer Science). Ed. by Robert Harper. Vol. 2071. Springer, 177 206. doi: 10.1007/3-540-45332-6_7."	"International Workshop, TIC 2000, Montreal, Canada, September 21, 2000, Revised Selected Papers (Lecture Notes in Computer Science). Ed. by Robert Harper. Vol. 2071. Springer, 177 206. doi: 10.1007/3-540-45332-6_7."	https://doi.org/10.1007/3-540-45332-6_7
ASOT-0035	doi:10.1007/3-540-46425-5_24	"Science). Ed. by Gert Smolka. Vol. 1782. Springer, 366 381. doi: 10.1007/3-540-46425-5_24."	"Science). Ed. by Gert Smolka. Vol. 1782. Springer, 366 381. doi: 10.1007/3-540-46425-5_24."	https://doi.org/10.1007/3-540-46425-5_24
ASOT-0036	doi:10.1007/978-1-4939-3210-8	"doi:10.1007/978-1-4939-3210-8 3 [arXiv:1405.0403 [physics.hist-ph]]."	"doi:10.1007/978-1-4939-3210-8 3 [arXiv:1405.0403 [physics.hist-ph]]."	https://doi.org/10.1007/978-1-4939-3210-8
ASOT-0037	doi:10.1007/978-3-030-35184-7	"Te rica (IFT), Madrid, Spain (2019) [DOI:10.1007/978-3-030-35184-7] [arXiv:1908.02667"	"Te rica (IFT), Madrid, Spain (2019) [DOI:10.1007/978-3-030-35184-7] [arXiv:1908.02667"	https://doi.org/10.1007/978-3-030-35184-7
ASOT-0038	doi:10.1007/978-3-319-52573-0	"DOI:10.1007/978-3-319-52573-0] [INSPIRE]."	"DOI:10.1007/978-3-319-52573-0] [INSPIRE]."	https://doi.org/10.1007/978-3-319-52573-0
ASOT-0039	doi:10.1007/978-3-319-55182-1	"Fundam. Theor. Phys. 189 (2017), pp.1-279 doi:10.1007/978-3-319-55182-1"	"Fundam. Theor. Phys. 189 (2017), pp.1-279 doi:10.1007/978-3-319-55182-1"	https://doi.org/10.1007/978-3-319-55182-1
ASOT-0040	doi:10.1007/978-3-642-12821-9_4	https://doi.org/10.1007/978-3-642-12821-9_4	https://doi.org/10.1007/978-3-642-12821-9_4	https://doi.org/10.1007/978-3-642-12821-9_4
ASOT-0041	doi:10.1007/978-4-431-55441-7	"DOI:10.1007/978-4-431-55441-7] [INSPIRE]."	"DOI:10.1007/978-4-431-55441-7] [INSPIRE]."	https://doi.org/10.1007/978-4-431-55441-7
ASOT-0042	doi:10.1007/978-94-010-1909-5	DOI:10.1007/978-94-010-1909-5].	DOI:10.1007/978-94-010-1909-5].	https://doi.org/10.1007/978-94-010-1909-5
ASOT-0043	doi:10.1007/bf00653317	"Majernik, V. (1971) Astrophysics and Space Science, 14, 265-285."	"Majernik, V. (1971) Astrophysics and Space Science, 14, 265-285."	https://doi.org/10.1007/BF00653317
