id	key	title	status	canonical_functional_url	nonworking_mirrors	source_refs
ASOT-0035	doi:10.1103/physreve.66.056108	**Laskin, N.** (2002). *Fractional Schrodinger equation*. Physical Review E, 66, 056108. DOI: 10.1103/PhysRevE.66.056108.	blocked	https://doi.org/10.1103/PhysRevE.66.056108	https://doi.org/10.1103/PhysRevE.66.056108	BIB-0100; docs/BIBLIOGRAPHY.md:217; docs/generated/BIBLIOGRAPHY_REGISTRY_MIRROR.md:199; refs.bib::Laskin2002FractionalSchrodinger; registry/bibliography.toml::entry/99::BIB-0100; registry/bibliography_normalized.toml::entry/99::BIBN-0100
ASOT-0036	doi:10.1103/physrevlett.43.744	Parisi, G. & Sourlas, N.** (1979). *Random Magnetic Fields, Supersymmetry, and Negative Dimensions*. Physical Review Letters 43, 744. [APS]().	blocked	https://doi.org/10.1103/PhysRevLett.43.744	https://doi.org/10.1103/PhysRevLett.43.744	docs/BIBLIOGRAPHY.md:212; docs/generated/BIBLIOGRAPHY_REGISTRY_MIRROR.md:196
ASOT-0037	doi:10.1103/physrevlett.49.405	**Thouless, D. J., Kohmoto, M., Nightingale, M. P., & den Nijs, M.** (TKNN) (1982). *Quantized Hall Conductance in a Two-Dimensional Periodic Potential*. Phys. Rev. Lett. 49, 405. DOI: 10.1103/PhysRevLett.49.405.	blocked	https://doi.org/10.1103/PhysRevLett.49.405	https://doi.org/10.1103/PhysRevLett.49.405	BIB-0024; docs/BIBLIOGRAPHY.md:63; docs/generated/BIBLIOGRAPHY_REGISTRY_MIRROR.md:61; refs.bib::TKNN1982QuantizedHall; registry/bibliography.toml::entry/23::BIB-0024; registry/bibliography_normalized.toml::entry/23::BIBN-0024
ASOT-0038	doi:10.1103/physrevlett.69.2863	**White, S. R.** (1992). *Density matrix formulation for quantum renormalization groups*. Phys. Rev. Lett. 69, 2863. DOI: 10.1103/PhysRevLett.69.2863.	blocked	https://doi.org/10.1103/PhysRevLett.69.2863	https://doi.org/10.1103/PhysRevLett.69.2863	BIB-0033; docs/BIBLIOGRAPHY.md:83; docs/generated/BIBLIOGRAPHY_REGISTRY_MIRROR.md:79; refs.bib::White1992DMRG; registry/bibliography.toml::entry/32::BIB-0033; registry/bibliography_normalized.toml::entry/32::BIBN-0033
ASOT-0039	doi:10.1103/physrevlett.71.3697	**Hatsugai, Y.** (1993). *Chern number and edge states in the integer quantum Hall effect*. Phys. Rev. Lett. 71, 3697. DOI: 10.1103/PhysRevLett.71.3697.	blocked	https://doi.org/10.1103/PhysRevLett.71.3697	https://doi.org/10.1103/PhysRevLett.71.3697	BIB-0027; docs/BIBLIOGRAPHY.md:69; docs/generated/BIBLIOGRAPHY_REGISTRY_MIRROR.md:67; refs.bib::Hatsugai1993BulkEdge; registry/bibliography.toml::entry/26::BIB-0027; registry/bibliography_normalized.toml::entry/26::BIBN-0027
ASOT-0040	doi:10.1103/physrevlett.78.5	**Lamoreaux, S. K.** (1997). *Demonstration of the Casimir Force in the 0.6 to 6 um Range*. Phys. Rev. Lett. 78, 5-8. DOI: 10.1103/PhysRevLett.78.5.	blocked	https://doi.org/10.1103/PhysRevLett.78.5	https://doi.org/10.1103/PhysRevLett.78.5	BIB-0145; docs/BIBLIOGRAPHY.md:313; docs/generated/BIBLIOGRAPHY_REGISTRY_MIRROR.md:279; refs.bib::Lamoreaux1997CasimirMeasurement; registry/bibliography.toml::entry/144::BIB-0145; registry/bibliography_normalized.toml::entry/144::BIBN-0145
ASOT-0045	doi:10.1143/jpsj.74.1674	**Fukui, T., Hatsugai, Y., & Suzuki, H.** (2005). *Chern Numbers in Discretized Brillouin Zone: Efficient Method of Computing (Spin) Hall Conductances*. J. Phys. Soc. Jpn. 74, 1674-1677. DOI: 10.1143/JPSJ.74.1674.	blocked	https://doi.org/10.1143/JPSJ.74.1674	https://doi.org/10.1143/JPSJ.74.1674	BIB-0025; docs/BIBLIOGRAPHY.md:65; docs/generated/BIBLIOGRAPHY_REGISTRY_MIRROR.md:63; refs.bib::FukuiHatsugaiSuzuki2005ChernNumbers; registry/bibliography.toml::entry/24::BIB-0025; registry/bibliography_normalized.toml::entry/24::BIBN-0025
ASOT-0047	doi:10.1177/2156587216668109	Effects of Singing Bowl Sound Meditation on Mood, Tension, and Well-being	blocked	https://doi.org/10.1177/2156587216668109	https://doi.org/10.1177/2156587216668109	refs.bib::Goldsby2017SingingBowl
ASOT-0062	doi:10.7151/dmgaa.1088	**Cawagas, R. E.** (2004). *On the structure and zero divisors of the Cayley-Dickson sedenion algebra*. Discussiones Mathematicae -- General Algebra and Applications 24(2), 251-265. DOI: 10.7151/dmgaa.1088.	blocked	https://doi.org/10.7151/dmgaa.1088	https://doi.org/10.7151/dmgaa.1088	BIB-0091; docs/BIBLIOGRAPHY.md:200; docs/generated/BIBLIOGRAPHY_REGISTRY_MIRROR.md:186; refs.bib::Cawagas2004SedenionStructure; registry/bibliography.toml::entry/90::BIB-0091; registry/bibliography_normalized.toml::entry/90::BIBN-0091; reports/literature_canonical_gap_matrix_2026_02_14.toml::canonical_check/10::CAN-SED-2004-CAWAGAS
ASOT-8215	url:http://arxiv.org/abs.math.ra/0403113	"Suppressing 'Sleeper Cell' Structures in the Sedenions and 2N-ions"" (""BK3""),"	blocked	http://arXiv.org/abs.math.RA/0403113	http://arXiv.org/abs.math.RA/0403113	docs/external_sources/DE_MARRAIS_WOLFRAM_SLIDES.md:847; docs/generated/EXTERNAL_SOURCES_REGISTRY_MIRROR.md:150
ASOT-8225	url:http://matu1.math.auckland.ac.nz/~king/preprints/chaoq.htm	Flying Higher Than A Box-Kite	blocked	http://matu1.math.auckland.ac.nz/~king/Preprints/Chaoq.htm	http://matu1.math.auckland.ac.nz/~king/Preprints/Chaoq.htm; http://exo.com/~palmer/ISSS2000ab.html	XS-005
ASOT-8227	url:http://www.wolframscience.com/conference/2004/presentations/materials/rdemarrais.pdf	"Buck',"""	blocked	http://www.wolframscience.com/conference/2004/presentations/materials/rdemarrais.pdf	http://www.wolframscience.com/conference/2004/presentations/materials/rdemarrais.pdf	docs/external_sources/DE_MARRAIS_PRESTO_DIGITIZATION.md:1523; docs/generated/EXTERNAL_SOURCES_REGISTRY_MIRROR.md:133
ASOT-8228	url:https://academic.oup.com/ptep/article-pdf/2014/1/013a03/4432616/ptt110.pdf	https://academic.oup.com/ptep/article-pdf/2014/1/013A03/4432616/ptt110.pdf	blocked	https://academic.oup.com/ptep/article-pdf/2014/1/013A03/4432616/ptt110.pdf	https://academic.oup.com/ptep/article-pdf/2014/1/013A03/4432616/ptt110.pdf	registry/research_intake_2026_02_15_cayley_dickson.toml::lane_item/7::LFI-008
ASOT-8229	url:https://archive.org/details/elementarytreat00tailuoft	An Elementary Treatise on Quaternions	blocked	https://archive.org/details/elementarytreat00tailuoft	https://archive.org/details/elementarytreat00tailuoft	reports/literature_canonical_gap_matrix_2026_02_14.toml::canonical_check/2::CAN-QUAT-1867-TAIT
ASOT-8230	url:https://archive.org/details/theoryofbiquater00conwrich	The Theory of Biquaternions	blocked	https://archive.org/details/theoryofbiquater00conwrich	https://archive.org/details/theoryofbiquater00conwrich	reports/literature_canonical_gap_matrix_2026_02_14.toml::canonical_check/6::CAN-BIQ-1911-CONWAY
ASOT-8308	url:https://arxiv.org/abs/unknown	Monograph: Composition Algebras and Physical Applications	blocked	https://arxiv.org/abs/unknown	https://arxiv.org/abs/unknown	registry/third_party_markdown_cache.toml::external_source/0
ASOT-8312	url:https://arxiv.org/pdf/1602.02317	https://arxiv.org/pdf/1602.02317	blocked	https://arxiv.org/pdf/1602.02317	https://arxiv.org/pdf/1602.02317	registry/research_intake_2026_02_15_cayley_dickson.toml::lane_item/19::LFI-020
ASOT-8331	url:https://cms.math.ca/wp-content/uploads/2020/02/cmb49-4-6.pdf	**Kinyon, M. K., & Sagle, A. A.** (2006). *Subalgebras of the real sedenions*. Canadian Mathematical Bulletin 49(4), 566-581. [PDF](https://cms.math.ca/wp-content/uploads/2020/02/cmb49-4-6.pdf).	blocked	https://cms.math.ca/wp-content/uploads/2020/02/cmb49-4-6.pdf	https://cms.math.ca/wp-content/uploads/2020/02/cmb49-4-6.pdf	BIB-0083; docs/BIBLIOGRAPHY.md:180; docs/generated/BIBLIOGRAPHY_REGISTRY_MIRROR.md:166; registry/bibliography.toml::entry/82::BIB-0083; registry/bibliography_normalized.toml::entry/82::BIBN-0083
ASOT-8344	url:https://msp.org/pjm/1985/117-1/pjm-v117-n1-pjm-v117-n1-p10-s.pdf	https://msp.org/pjm/1985/117-1/pjm-v117-n1-pjm-v117-n1-p10-s.pdf	blocked	https://msp.org/pjm/1985/117-1/pjm-v117-n1-pjm-v117-n1-p10-s.pdf	https://msp.org/pjm/1985/117-1/pjm-v117-n1-pjm-v117-n1-p10-s.pdf	registry/research_intake_2026_02_15_cayley_dickson.toml::lane_item/6::LFI-007
ASOT-8352	url:https://ncatlab.org/nlab/show/monstrous+moonshine	**nLab contributors.** *Monstrous Moonshine*. [nLab](https://ncatlab.org/nlab/show/Monstrous+Moonshine).	blocked	https://ncatlab.org/nlab/show/Monstrous+Moonshine	https://ncatlab.org/nlab/show/Monstrous+Moonshine	BIB-0153
ASOT-8358	url:https://www.cambridge.org/core/journals/compositio-mathematica/article/stable-homology-of-wheeled-operads/c66016da3a1bb600e57d975d3e8d83bc	**Dotsenko, V.** (2025). *Stable homology of wheeled operads*. Compositio Mathematica. [Cambridge Core](https://www.cambridge.org/core/journals/compositio-mathematica/article/stable-homology-of-wheeled-operads/C66016DA3A1BB600E57D975D3E8D83BC).	blocked	https://www.cambridge.org/core/journals/compositio-mathematica/article/stable-homology-of-wheeled-operads/C66016DA3A1BB600E57D975D3E8D83BC	https://www.cambridge.org/core/journals/compositio-mathematica/article/stable-homology-of-wheeled-operads/C66016DA3A1BB600E57D975D3E8D83BC	BIB-0066
ASOT-8365	url:https://www.researchgate.net/profile/john-bales/publication/238738095_a_tree_for_computing_the_cayley-dickson_twist/links/0a85e53a8b63445499000000/a-tree-for-computing-the-cayley-dickson-twist.pdf	https://www.researchgate.net/profile/John-Bales/publication/238738095_A_Tree_for_Computing_the_Cayley-Dickson_Twist/links/0a85e53a8b63445499000000/A-Tree-for-Computing-the-Cayley-Dickson-Twist.pdf	blocked	https://www.researchgate.net/profile/John-Bales/publication/238738095_A_Tree_for_Computing_the_Cayley-Dickson_Twist/links/0a85e53a8b63445499000000/A-Tree-for-Computing-the-Cayley-Dickson-Twist.pdf	https://www.researchgate.net/profile/John-Bales/publication/238738095_A_Tree_for_Computing_the_Cayley-Dickson_Twist/links/0a85e53a8b63445499000000/A-Tree-for-Computing-the-Cayley-Dickson-Twist.pdf	registry/research_intake_2026_02_15_cayley_dickson.toml::lane_item/21::LFI-022
