index,value
0,1.492403979220e+01
1,1.418720631001e+01
2,1.434524669946e+01
3,1.169772850882e+01
4,1.082293746494e+01
5,1.545041175588e+01
6,1.060751264244e+01
7,1.021598473521e+01
8,1.190627696484e+01
9,1.450600519822e+01
10,1.040082960793e+01
11,2.088967236636e+01
12,1.392932703413e+01
13,2.921774008125e+01
14,1.017932664040e+01
15,1.006272165193e+01
16,1.129170793737e+01
17,1.013464206402e+01
18,1.906260696333e+01
19,1.693250306943e+01
20,1.237582594082e+01
21,1.083151965906e+01
22,1.380225666540e+01
23,1.386683564920e+01
24,1.897603460284e+01
25,1.087473602387e+01
26,1.732617985379e+01
27,1.596353785125e+01
28,1.255940172459e+01
29,1.021277959245e+01
30,1.050984025005e+01
31,1.045821360327e+01
32,1.370600135480e+01
33,2.160443383203e+01
34,1.543489854043e+01
35,1.114524779508e+01
36,1.462800949649e+01
37,1.581510803960e+01
38,5.040486944613e+01
39,1.021299916511e+01
40,1.393135342521e+01
41,2.429832529219e+01
42,1.022594727062e+01
43,1.124608005333e+01
44,1.469939768768e+01
45,1.224542748406e+01
46,1.327187424638e+01
47,1.315473943567e+01
48,1.576815172075e+01
49,1.188716271800e+01
50,1.630051440939e+01
51,1.830733069227e+01
52,1.437014864056e+01
53,1.155722375927e+01
54,2.370589534609e+01
55,1.013464233672e+01
56,1.314582821874e+01
57,1.741838506470e+01
58,1.209352397344e+01
59,1.173365442556e+01
60,1.052743354480e+01
61,1.262952005462e+01
62,2.918137014022e+01
63,1.012995469539e+01
64,1.024052658129e+01
65,2.506643712852e+01
66,7.659516489749e+01
67,1.464873558678e+01
68,7.300712743689e+01
69,1.369523189118e+01
70,1.384298547648e+01
71,1.678131075261e+01
72,4.500615485560e+01
73,1.145914876660e+01
74,1.358742002371e+01
75,2.952572853128e+01
76,2.754294919925e+01
77,2.458723662676e+01
78,1.617027692842e+01
79,1.619023071265e+01
80,1.371759718664e+01
81,1.030732393526e+01
82,1.192784618267e+01
83,1.742686782234e+01
84,1.206142880866e+01
85,1.144942458387e+01
86,1.008771740040e+01
87,1.935169440719e+01
88,1.364536067271e+01
89,1.213893291148e+01
90,1.554183973949e+01
91,1.073316057855e+01
92,2.314909843115e+01
93,1.398312942320e+01
94,2.234478071541e+01
95,1.009850015070e+01
96,1.077855997731e+01
97,1.046000413942e+01
98,1.110273473106e+01
99,1.638230875862e+01
100,1.050869676382e+01
101,3.438543518317e+01
102,1.473815210729e+01
103,1.854139035949e+01
104,3.507670823167e+01
105,1.189109655767e+01
106,1.628672420784e+01
107,1.032160890853e+01
108,1.022527223825e+01
109,1.306543325224e+01
110,1.522139724396e+01
111,1.641287728910e+01
112,2.212469170031e+01
113,1.956322839192e+01
114,1.420509525451e+01
115,1.293338059522e+01
116,1.215544832453e+01
117,1.002442562435e+01
118,1.582750958239e+01
119,2.165282674562e+01
120,1.808275366769e+01
121,1.184704674021e+01
122,1.288485896822e+01
123,1.207249109770e+01
124,1.268146433326e+01
125,1.374103498826e+01
126,1.039235354038e+01
127,1.118155537420e+01
128,1.047985525042e+01
129,1.003891423556e+01
130,1.158606665203e+01
131,1.245694719864e+01
132,1.223002700307e+01
133,1.014613855098e+01
134,1.986131267979e+01
135,1.068489469382e+01
136,1.443358593587e+01
137,1.473548580685e+01
138,1.050732792055e+01
139,1.013500602278e+01
140,1.010385642317e+01
141,1.140362898157e+01
142,1.414164959909e+01
143,1.059389045989e+01
144,1.029502263166e+01
145,1.429789321133e+01
146,1.064334207598e+01
147,1.942122539149e+01
148,1.309870870830e+01
149,1.423944879551e+01
150,2.302043805568e+01
151,1.073375608131e+01
152,1.386696158815e+01
153,1.183818837731e+01
154,1.058113536516e+01
155,1.434036867182e+01
156,1.014161921040e+01
157,2.113681943727e+01
158,1.581859054932e+01
159,4.843976580187e+01
160,1.279596117562e+01
161,2.739044777675e+01
162,1.084206259932e+01
163,1.352110079427e+01
164,1.350183201834e+01
165,1.590676969175e+01
166,3.200619966730e+01
167,1.884531510851e+01
168,1.031375981696e+01
169,1.397323852548e+01
170,1.166463483853e+01
171,1.055967250024e+01
172,1.298662349925e+01
173,1.226741086931e+01
174,1.013904875033e+01
175,1.373109100434e+01
176,1.040227867920e+01
177,1.745681273090e+01
178,1.127862252730e+01
179,1.431942808124e+01
180,1.078805273795e+01
181,2.507992013929e+01
182,1.022222382779e+01
183,2.405234755434e+01
184,1.082474693886e+01
185,1.064988531971e+01
186,1.444465547414e+01
187,1.372093145001e+01
188,3.544514008053e+01
189,1.309479286500e+01
190,1.097808276432e+01
191,1.424989652615e+01
192,1.376921476932e+01
193,1.376555000550e+01
194,3.906002405299e+01
195,1.125896040280e+01
196,1.246322092001e+01
197,2.003039063715e+01
198,1.527620082831e+01
199,1.096213009166e+01
200,1.751649892362e+01
201,1.075860131507e+01
202,1.544651301041e+01
203,2.172517312456e+01
204,1.774930484075e+01
205,1.005536086940e+01
206,1.329247212474e+01
