index,value
0,-2.938149295356e+00
1,1.050999462140e+00
2,2.070699731588e+00
3,3.756203554147e+00
4,7.245138421980e+00
5,7.557420466264e+00
6,8.411695849194e+00
7,9.152685306874e+00
8,9.248951174070e+00
9,9.354053858286e+00
10,1.022953280178e+01
11,1.067519117144e+01
12,1.091317118709e+01
13,1.195451742198e+01
14,1.199512504258e+01
15,1.217812594105e+01
16,1.233606702429e+01
17,1.348731052387e+01
18,1.359037632807e+01
19,1.379581507238e+01
20,1.404896345829e+01
21,1.418536687264e+01
22,1.498406505659e+01
23,1.634437502177e+01
24,1.636896919796e+01
25,1.658101406275e+01
26,1.683860867027e+01
27,1.684320479420e+01
28,1.714646271098e+01
29,1.723479976508e+01
30,1.768955267969e+01
31,1.790316518370e+01
32,1.791492914642e+01
33,1.800975455491e+01
34,1.843391446600e+01
35,1.863375735295e+01
36,1.896984569171e+01
37,1.899479256797e+01
38,1.903453985237e+01
39,1.926438304715e+01
40,1.934512870740e+01
41,1.956254421758e+01
42,1.968890204238e+01
43,1.971962889925e+01
44,1.982930208378e+01
45,2.006295908792e+01
46,2.012751406325e+01
47,2.021301513934e+01
48,2.034220934076e+01
49,2.043158908933e+01
50,2.048541204962e+01
51,2.049661623683e+01
52,2.051861372696e+01
53,2.060071875110e+01
54,2.096067848581e+01
55,2.142044345653e+01
56,2.145647656860e+01
57,2.166578859436e+01
58,2.175007398160e+01
59,2.177941276423e+01
60,2.181685921816e+01
61,2.182572436455e+01
62,2.184626035819e+01
63,2.188976337604e+01
64,2.189078289285e+01
65,2.204865277291e+01
66,2.205587678252e+01
67,2.206584547981e+01
68,2.216969737172e+01
69,2.222083471682e+01
70,2.233014166976e+01
71,2.242108412376e+01
72,2.244196479779e+01
73,2.247151885332e+01
74,2.255104756506e+01
75,2.258136171924e+01
76,2.263078044429e+01
77,2.264193717469e+01
78,2.268281622669e+01
79,2.274369456320e+01
80,2.289752746769e+01
81,2.291138646232e+01
82,2.295899674918e+01
83,2.310849756350e+01
84,2.311737563753e+01
85,2.311950716174e+01
86,2.319728524121e+01
87,2.320003209657e+01
88,2.326588883889e+01
89,2.333494908255e+01
90,2.338022094744e+01
91,2.354824091527e+01
92,2.362189103621e+01
93,2.362894009995e+01
94,2.364899219956e+01
95,2.373326207772e+01
96,2.387964397343e+01
97,2.409922771519e+01
98,2.418780262269e+01
99,2.420695863701e+01
100,2.438833663006e+01
101,2.439544992823e+01
102,2.443444193401e+01
103,2.446414065963e+01
104,2.450785179820e+01
105,2.457862250592e+01
106,2.464997348081e+01
107,2.468434172235e+01
108,2.472280063117e+01
109,2.473303828186e+01
110,2.475282533078e+01
111,2.475821816841e+01
112,2.480864397516e+01
113,2.488906305108e+01
114,2.493148422081e+01
115,2.497346011657e+01
116,2.498401406626e+01
117,2.504903881485e+01
118,2.518900752109e+01
119,2.523789105915e+01
120,2.524715162052e+01
121,2.529661276927e+01
122,2.531024458499e+01
123,2.531509664414e+01
124,2.537302499673e+01
125,2.538222154663e+01
126,2.538738795129e+01
127,2.541830515152e+01
128,2.547009302676e+01
129,2.547217792204e+01
130,2.547749450559e+01
131,2.550278096272e+01
132,2.551221436996e+01
133,2.570864384848e+01
134,2.579615282061e+01
135,2.582287598598e+01
136,2.595036549704e+01
137,2.597015730191e+01
138,2.600102043562e+01
139,2.612753546121e+01
140,2.636114962720e+01
141,2.642950628283e+01
142,2.647238242944e+01
143,2.650827779438e+01
144,2.655528722541e+01
145,2.656544769614e+01
146,2.668881768469e+01
147,2.669723686632e+01
148,2.672020770311e+01
149,2.672614996254e+01
150,2.679153010116e+01
151,2.686726841710e+01
152,2.691423038438e+01
153,2.693011334646e+01
154,2.693249822334e+01
155,2.705294764258e+01
156,2.709956576717e+01
157,2.710106399953e+01
158,2.722418045199e+01
159,2.742888892387e+01
160,2.743092157004e+01
161,2.747932211785e+01
162,2.752175708942e+01
163,2.755239158309e+01
164,2.765759146503e+01
165,2.766608714097e+01
166,2.791594076249e+01
167,2.795837442920e+01
168,2.796500928654e+01
169,2.817203870821e+01
170,2.818560805221e+01
171,2.827409940298e+01
172,2.827748718046e+01
173,2.844546053796e+01
174,2.849374499245e+01
175,2.850432845047e+01
176,2.859944832501e+01
177,2.860230381689e+01
178,2.864401833194e+01
179,2.865111763470e+01
180,2.872827899630e+01
181,2.874905698004e+01
182,2.876888137516e+01
183,2.879730185363e+01
184,2.881940730681e+01
185,2.882948818885e+01
186,2.890776536277e+01
187,2.898422383914e+01
188,2.904529826337e+01
189,2.911855225634e+01
190,2.917423548515e+01
191,2.922525318011e+01
192,2.937300142267e+01
193,2.947417638901e+01
194,2.949260449252e+01
195,2.949663935974e+01
196,2.954004371034e+01
197,2.955274229622e+01
198,2.956906735123e+01
199,2.960920372259e+01
200,2.965720721104e+01
201,2.970096660934e+01
202,2.973122383855e+01
203,2.974174926881e+01
204,2.975057218993e+01
205,2.975604813520e+01
206,2.981306603742e+01
207,2.981907104963e+01
208,2.985010344557e+01
209,2.988414893063e+01
210,2.988572929346e+01
211,2.991267537891e+01
212,3.003901344709e+01
213,3.006216302300e+01
214,3.008467583842e+01
215,3.009412936458e+01
216,3.013470450857e+01
217,3.013607235977e+01
218,3.017977422011e+01
219,3.019217009946e+01
220,3.034675409425e+01
221,3.042577191660e+01
222,3.044950085126e+01
223,3.047603973334e+01
224,3.048373346591e+01
225,3.052761482539e+01
226,3.055237504042e+01
227,3.058580075560e+01
228,3.060374587976e+01
229,3.066269517007e+01
230,3.068472995337e+01
231,3.068913780327e+01
232,3.072226861318e+01
233,3.078923844922e+01
234,3.082385089941e+01
235,3.083271730951e+01
236,3.083692973963e+01
237,3.096193142956e+01
238,3.098592096907e+01
239,3.105121073281e+01
240,3.108801054169e+01
241,3.117878782529e+01
242,3.119255686321e+01
243,3.120016656468e+01
244,3.128692309104e+01
245,3.129809135135e+01
246,3.131607095658e+01
247,3.143305670806e+01
248,3.143411287554e+01
249,3.146489628778e+01
250,3.147254041737e+01
251,3.148824377691e+01
