index,value
0,1.107667728856e+00
1,3.253163943606e-01
2,2.153010926388e+00
3,2.938444369647e-01
4,3.186584273220e+00
5,1.741685513279e+01
6,1.442605922584e+00
7,1.791598316446e+00
8,6.108769270059e-01
9,1.636192296477e-01
10,5.473212453954e-01
11,3.352444736912e-01
12,2.352739788669e-01
13,5.597723190796e+00
14,1.313719619642e+00
15,1.461827814737e+00
16,7.341643501129e-01
17,8.412460592407e-01
18,2.623608557677e+00
19,9.681801354327e-01
20,1.700111671504e+00
21,8.220087018046e-01
22,7.102396073541e-01
23,2.448978325031e-01
24,1.383803725948e-01
25,7.698482195236e-01
26,1.058123114516e+00
27,2.763381348895e-01
28,9.661126225886e-01
29,1.055223468510e+00
30,1.157864183579e-01
31,4.004667010086e-01
32,1.502700606619e+00
33,1.472642976166e+00
34,3.154752911973e-01
35,1.171691053879e+00
36,2.779878510144e+00
37,2.175096342563e+00
38,9.091130846254e-01
39,6.262683576974e-01
40,5.329410377283e-01
41,1.596509658434e+00
42,1.215437352762e+00
43,1.876491868222e+00
44,1.140964335455e+00
45,2.267695120739e+00
46,1.099210871660e+00
47,2.191724586028e+00
48,2.388875541175e+00
49,4.472996145700e-01
50,1.639581532429e-01
51,4.680911500430e+00
52,1.292603925458e+00
53,1.800562646591e-01
54,4.897699454449e-01
55,2.163818083165e+00
56,7.560280267018e-01
57,5.992589806366e-01
58,4.058777664039e+00
59,3.508883678610e-01
60,4.501594805617e-01
61,1.235389710110e+00
62,1.477652872652e+00
63,1.642702964708e+00
64,2.487400140119e+00
65,1.219667914768e+00
66,1.631310923186e+00
67,7.716615287842e-01
68,1.064705572546e+00
69,1.113528920574e+00
70,1.239983577799e+00
71,2.165258616313e+00
72,1.742194772610e+00
73,1.045209143696e+00
74,4.452470488355e-01
75,1.070013492345e+00
76,9.723710731293e-01
77,1.213103048547e+00
78,9.084097043956e+00
79,5.922817794489e-01
80,1.525449345013e+00
81,2.910899288364e+00
82,1.102964896291e+00
83,1.035889032049e+01
84,6.852035773020e-01
85,1.382770675624e+00
86,4.498658980816e-01
87,7.036144457426e-01
88,1.282657259959e+00
89,2.331015623007e+00
90,1.375881799126e+00
91,3.522302338852e+00
92,9.094044806235e-01
93,7.173664150200e-01
94,1.493914736230e+01
95,1.483253001041e+00
96,4.870046800540e-01
97,4.994420207286e-01
98,3.895823876272e-01
99,2.551214080477e+00
100,6.946290666862e-01
101,1.135828653410e+00
102,9.384659786002e-01
103,2.078179786495e+00
104,4.288088232260e-01
105,3.411024912038e-01
106,1.251443027125e+00
107,1.823867569727e+00
108,1.394494958909e+00
109,4.451011456279e-01
110,1.968919356205e+00
111,4.752753650155e-01
112,5.936064954101e-01
113,3.890865273616e-01
114,3.673549455098e+00
115,1.884045903980e+00
116,1.831240078123e+00
117,3.480623419033e+00
118,1.665398035537e+01
119,1.810058181224e-01
120,4.778891004300e-01
121,5.400059698676e-01
122,4.270647566292e-01
123,3.404172364812e-01
124,7.410752817402e-01
125,2.962345572584e-01
126,1.397999613769e+00
127,1.053058009553e+00
128,1.617737656305e+00
129,1.661512698603e+00
130,1.827605889852e+00
131,6.883836698456e-01
132,8.340668780247e+00
133,1.264189387624e+00
134,1.552863025544e-01
135,3.670064905116e-01
136,1.754321379808e-01
