step,ke
0,0.00009065866470336914
20,0.00009106099605560303
40,0.00009106099605560303
60,0.00009106099605560303
80,0.00009106099605560303
100,0.00009106099605560303
120,0.00009106099605560303
140,0.00009106099605560303
160,0.00009106099605560303
180,0.00009106099605560303
200,0.00009106099605560303
220,0.00009106099605560303
240,0.00009106099605560303
260,0.00009106099605560303
280,0.00009106099605560303
300,0.00009106099605560303
320,0.00009106099605560303
340,0.00009106099605560303
360,0.00009106099605560303
380,0.00009106099605560303
400,0.00009106099605560303
420,0.00009106099605560303
440,0.00009106099605560303
460,0.00009106099605560303
480,0.00009106099605560303
500,0.00009106099605560303
520,0.00009106099605560303
540,0.00009106099605560303
560,0.00009106099605560303
580,0.00009106099605560303
600,0.00009106099605560303
620,0.00009106099605560303
640,0.00009106099605560303
660,0.00009106099605560303
680,0.00009106099605560303
700,0.00009106099605560303
720,0.00009106099605560303
740,0.00009106099605560303
760,0.00009106099605560303
780,0.00009106099605560303
800,0.00009106099605560303
820,0.00009106099605560303
840,0.00009106099605560303
860,0.00009106099605560303
880,0.00009106099605560303
900,0.00009106099605560303
920,0.00009106099605560303
940,0.00009106099605560303
960,0.00009106099605560303
980,0.00009106099605560303
