step,ke
0,0.00009065866470336914
20,0.00009113464883846731
40,0.00009119523349232928
60,0.00009119510650634766
80,0.00009119510650634766
100,0.00009119510650634766
120,0.00009119510650634766
140,0.00009119510650634766
160,0.00009119510650634766
180,0.00009119510650634766
200,0.00009119510650634766
220,0.00009119510650634766
240,0.00009119510650634766
260,0.00009119510650634766
280,0.00009119510650634766
300,0.00009119510650634766
320,0.00009119510650634766
340,0.00009119510650634766
360,0.00009119510650634766
380,0.00009119510650634766
400,0.00009119510650634766
420,0.00009119510650634766
440,0.00009119510650634766
460,0.00009119510650634766
480,0.00009119510650634766
