step,ke
0,0.00009065866470336914
20,0.00009092096760323167
40,0.00009068852191688949
60,0.00009066801097464493
80,0.00009066424201048312
100,0.00009067541677077059
120,0.00009067542850971222
140,0.00009067542850971222
160,0.00009067542850971222
180,0.00009067542850971222
200,0.00009067542850971222
220,0.00009067542850971222
240,0.00009067542850971222
260,0.00009067542850971222
280,0.00009067542850971222
300,0.00009067542850971222
320,0.00009067542850971222
340,0.00009067542850971222
360,0.00009067542850971222
380,0.00009067542850971222
400,0.00009067542850971222
420,0.00009067542850971222
440,0.00009067542850971222
460,0.00009067542850971222
480,0.00009067542850971222
500,0.00009067542850971222
520,0.00009067542850971222
540,0.00009067542850971222
560,0.00009067542850971222
580,0.00009067542850971222
600,0.00009067542850971222
620,0.00009067542850971222
640,0.00009067542850971222
660,0.00009067542850971222
680,0.00009067542850971222
700,0.00009067542850971222
720,0.00009067542850971222
740,0.00009067542850971222
760,0.00009067542850971222
780,0.00009067542850971222
800,0.00009067542850971222
820,0.00009067542850971222
840,0.00009067542850971222
860,0.00009067542850971222
880,0.00009067542850971222
900,0.00009067542850971222
920,0.00009067542850971222
940,0.00009067542850971222
960,0.00009067542850971222
980,0.00009067542850971222
