override_id	url	http_code	content_type	size_download	is_pdf	status	note	checked_at
EAKIN_SATHAYE_1990_elsevier_pdf	https://www.sciencedirect.com/science/article/pii/0021869390902219/pdf?md5=33f3d3d19bcdcb137ceddaafe4873896&pid=1-s2.0-0021869390902219-main.pdf	200	text/html	13826	0	ok_nonpdf		2026-02-15
MCCRIMMON_1985_euclid_mirror	https://msp.org/pjm/1985/117-1/pjm-v117-n1-p10-s.pdf	200	application/pdf	1613071	1	pdf_ok		2026-02-15
MCCRIMMON_1985_euclid_mirror	https://projecteuclid.org/journals/pacific-journal-of-mathematics/volume-117/issue-1/Derivations-and-Cayley-derivations-of-generalized-Cayley-Dickson-algebras/pjm/1102706933.pdf	200	application/pdf	1450466	1	pdf_ok		2026-02-15
BREMNER_HENTZEL_2001_iastate_mirror	https://www.tandfonline.com/doi/pdf/10.1081/AGB-100105036	403	text/html; charset=UTF-8	6176	0	http_403		2026-02-15
BREMNER_HENTZEL_2001_iastate_mirror	https://www.tandfonline.com/doi/epdf/10.1081/AGB-100105036	403	text/html; charset=UTF-8	6151	0	http_403		2026-02-15
BALES_2016_arxiv_withdrawn_versions	https://arxiv.org/pdf/1602.02317v1.pdf	200	application/pdf	191938	1	pdf_ok		2026-02-15
BALES_2016_arxiv_withdrawn_versions	https://arxiv.org/pdf/1602.02317v2.pdf	200	application/pdf	192196	1	pdf_ok		2026-02-15
BALES_2016_arxiv_withdrawn_versions	https://projecteuclid.org/journals/missouri-journal-of-mathematical-sciences/volume-28/issue-1/An-Alternate-Cayley-Dickson-Product/10.35834/mjms/1474295358.pdf	200	application/pdf	177030	1	pdf_ok		2026-02-15
BALES_2016_arxiv_withdrawn_versions	https://archive.org/download/arxiv-1602.02317/1602.02317.pdf	200	application/pdf	189748	1	pdf_ok		2026-02-15
ASOT_0022_large_annihilators_arxiv	https://arxiv.org/pdf/math/0511691.pdf	200	application/pdf	374167	1	pdf_ok		2026-02-15
ASOT_0024_stinga_torrea_arxiv	https://arxiv.org/pdf/0910.2569.pdf	200	application/pdf	362590	1	pdf_ok		2026-02-15
ASOT_0025_philmags_tandf_only	https://www.tandfonline.com/doi/pdf/10.1080/14786444808646059	403	text/html; charset=UTF-8	6116	0	http_403		2026-02-15
ASOT_0025_philmags_tandf_only	https://www.tandfonline.com/doi/epdf/10.1080/14786444808646059	403	text/html; charset=UTF-8	6113	0	http_403		2026-02-15
ASOT_0026_cockle_zenodo	https://zenodo.org/record/1431095/files/article.pdf	200	application/octet-stream	702621	1	pdf_ok		2026-02-15
ASOT_0026_cockle_zenodo	https://www.tandfonline.com/doi/pdf/10.1080/14786444908646169	403	text/html; charset=UTF-8	6133	0	http_403		2026-02-15
