,Instruction,8086 (cycles),8088 (cycles),80186 (cycles),80188 (cycles),80286 (cycles),80386 (cycles),80486 (cycles),V20 (cycles),V30 (cycles)
0,AAA,8,8,6,6,3,4,3,7,6
1,AAM,83,83,60,60,14,19,14,75,70
2,AAS,8,8,6,6,3,4,3,7,6
3,DAA,60,60,40,40,14,19,14,55,50
4,DAS,16,16,12,12,3,4,3,14,12
5,ADC,3,4,2,2,3,3,1,2,2
6,ADD,3,4,2,2,3,3,1,2,2
7,AND,3,4,2,2,3,3,1,2,2
8,CMP,3,4,2,2,3,3,1,2,2
9,NEG,3,4,2,2,3,3,1,2,2
10,NOT,3,4,2,2,3,3,1,2,2
11,OR,3,4,2,2,3,3,1,2,2
12,SBB,3,4,2,2,3,3,1,2,2
13,SUB,3,4,2,2,3,3,1,2,2
14,TEST,3,4,2,2,3,3,1,2,2
15,XOR,3,4,2,2,3,3,1,2,2
16,DEC,3,4,2,2,3,3,1,2,2
17,INC,3,4,2,2,3,3,1,2,2
18,DIV,70,80,50,50,7,6,3,60,55
19,IDIV,100,110,80,80,7,6,3,85,80
20,IMUL,70,80,50,50,7,6,3,60,55
21,MUL,80,90,60,60,7,6,3,75,70
22,SAL/SHL,4,5,3,3,2,1,1,3,3
23,SAR,4,5,3,3,2,1,1,3,3
24,SHR,4,5,3,3,2,1,1,3,3
25,RCL,4,5,3,3,2,1,1,3,3
26,RCR,4,5,3,3,2,1,1,3,3
27,ROL,4,5,3,3,2,1,1,3,3
28,ROR,4,5,3,3,2,1,1,3,3
29,BT,3,4,2,2,2,1,1,2,2
30,BTC,3,4,2,2,2,1,1,2,2
31,BTR,3,4,2,2,2,1,1,2,2
32,BTS,3,4,2,2,2,1,1,2,2
33,CBW,3,4,2,2,2,1,1,2,2
34,CWDE,3,4,2,2,2,1,1,2,2
35,CWD,3,4,2,2,2,1,1,2,2
36,CDQ,3,4,2,2,2,1,1,2,2
37,BSF,3,4,2,2,2,1,1,2,2
38,BSR,3,4,2,2,2,1,1,2,2
39,BSWAP,3,4,2,2,2,1,1,2,2
