Instruction,8086 (cycles),8088 (cycles),80186 (cycles),80188 (cycles),80286 (cycles),80386 (cycles),80486 (cycles)
AAA,8,8,6,6,3,4,3
AAM,83,83,60,60,14,19,14
AAS,8,8,6,6,3,4,3
DAA,60,60,40,40,14,19,14
DAS,16,16,12,12,3,4,3
ADC,3,4,2,2,3,3,1
ADD,3,4,2,2,3,3,1
AND,3,4,2,2,3,3,1
CMP,3,4,2,2,3,3,1
NEG,3,4,2,2,3,3,1
NOT,3,4,2,2,3,3,1
OR,3,4,2,2,3,3,1
SBB,3,4,2,2,3,3,1
SUB,3,4,2,2,3,3,1
TEST,3,4,2,2,3,3,1
XOR,3,4,2,2,3,3,1
DEC,3,4,2,2,3,3,1
INC,3,4,2,2,3,3,1
DIV,70,80,50,50,7,6,3
IDIV,100,110,80,80,7,6,3
IMUL,70,80,50,50,7,6,3
MUL,80,90,60,60,7,6,3
SAL/SHL,4,5,3,3,2,1,1
SAR,4,5,3,3,2,1,1
SHR,4,5,3,3,2,1,1
RCL,4,5,3,3,2,1,1
RCR,4,5,3,3,2,1,1
ROL,4,5,3,3,2,1,1
ROR,4,5,3,3,2,1,1
BT,3,4,2,2,2,1,1
BTC,3,4,2,2,2,1,1
BTR,3,4,2,2,2,1,1
BTS,3,4,2,2,2,1,1
CBW,3,4,2,2,2,1,1
CWDE,3,4,2,2,2,1,1
CWD,3,4,2,2,2,1,1
CDQ,3,4,2,2,2,1,1
BSF,3,4,2,2,2,1,1
BSR,3,4,2,2,2,1,1
BSWAP,3,4,2,2,2,1,1
