Recursion Depth,Dimension (D),Foam Density,Tunneling Probability
1,8.0,0.9642467698060395,6.970289626316502
2,8.0,1.0427771813203666,7.538535684034173
3,8.0,0.9489003774750292,6.859243131409312
4,8.0,1.018941553192049,7.366061078897667
5,8.0,1.0019695826695274,7.243251900196701
6,8.0,0.9587886375492881,6.930794581306649
7,8.0,1.044099764198528,7.548105893740548
8,8.0,0.9522653596733581,6.88359214259642
9,8.0,1.0122934721531882,7.317955564500471
10,8.0,1.0091260063087213,7.295035781649908
1,4.0,0.9520881870356416,6.882310121389903
2,4.0,1.0296283764011485,7.443390931638711
3,4.0,0.9369353036561013,6.77266385725555
4,4.0,1.006093301478252,7.273091129496633
5,4.0,0.9893353374889509,7.151830502070049
6,4.0,0.9466988786058332,6.843313085591809
7,4.0,1.030934282289665,7.452840466648016
8,4.0,0.9402578554145673,6.7967058417798105
9,4.0,0.9995290488182945,7.2255921972491794
10,4.0,0.9964015228490216,7.20296141933552
1,0.85,0.8948841005968249,6.468381351918625
2,0.85,0.9677654613418895,6.995750878269913
3,0.85,0.880641644279025,6.365322938003025
4,0.85,0.9456444386870139,6.835683158339233
5,0.85,0.9298933394331813,6.7217082041384995
6,0.85,0.8898185966942254,6.431727365679415
7,0.85,0.9689929047997774,7.00463265913119
8,0.85,0.8837645679562095,6.387920413731132
9,0.85,0.9394745844469501,6.791038093058131
10,0.85,0.9365349688711911,6.769767034751939
