,0
Higher-Order Ricci Flow Trace Anomaly (E12),-4.440892098500626e-16
Higher-Order Ricci Flow Trace Anomaly (E13),-4.440892098500626e-16
Laplacian Spectrum of Residue Space (E12),"[1.649277006924877, 0.8827253711924581, 1.094535718794557]"
Laplacian Spectrum of Residue Space (E13),"[1.078467690594664, 0.8459519359814914, 0.9348556853127261]"
Modular Form Curvature Decomposition (E12),"[(2.6528108431641444+0j), (0.3570643900289453-0.19752264775438727j), (0.3570643900289453+0.19752264775438727j)]"
Modular Form Curvature Decomposition (E13),"[(3.179025576047904+0j), (0.14181408768505088+0.043819330004256j), (0.14181408768505088-0.043819330004256j)]"
Non-Commutative Curvature Deviation (E12),0.9948581457197169
Non-Commutative Curvature Deviation (E13),1.1376036516105816
Frobenius Norm of Ricci Evolution (E12),1.5766137951243773
Frobenius Norm of Ricci Evolution (E13),1.8442779858731584
