Dimension,"Contains R, C, H?",Normed?,Associative?,Division Algebra?,Clifford Structure Exists?,Lie Structure Exists?,Jordan Structure Exists?,Albert Structure Exists?,Monstrous Moonshine Possible?
1,True,True,True,True,False,False,False,False,False
2,True,True,True,True,True,True,False,False,False
4,True,True,True,True,True,True,True,False,False
8,True,True,False,True,True,True,True,False,False
16,False,False,False,False,True,True,True,True,False
27,False,False,False,False,True,True,True,True,True
32,False,False,False,False,True,True,True,True,True
64,False,False,False,False,True,True,True,True,True
128,False,False,False,False,True,True,True,True,True
248,False,False,False,False,True,True,True,True,True
